sample_set,stratum_column,stratum_value,variant,sample_count,MAE_mean,MAE_delta_vs_baseline,MSE_delta_vs_baseline,regret_delta_vs_baseline,oracle_label_accuracy_mean,mean_max_weight_mean
round2_diagnostic_balanced_small,error_gap_quantile,q5,film_panel_gated_mean_aux,942.0,0.6561472400485654,-0.0014483400893680054,-4.804435790280216,-0.0014483400893680054,0.6592356687898089,0.6921802844960303
round2_diagnostic_balanced_small,error_gap_quantile,q5,film_panel_lowrank_aux,942.0,0.6158554904490462,-0.041740089688887205,-10.076875629179481,-0.04174008968888723,0.646142958244869,0.7094751306389632
round2_diagnostic_balanced_small,oracle_model,PatchTST,film_panel_gated_mean_aux,1000.0,0.506851128524247,0.003411787930953647,-4.4266651497944665,0.003411787930953619,0.4063333333333334,0.5728753778288761
round2_diagnostic_balanced_small,oracle_model,PatchTST,film_panel_lowrank_aux,1000.0,0.4683645118627076,-0.035074828730585705,-9.417065474395077,-0.035074828730585664,0.42566666666666664,0.5898971592783928
round2_diagnostic_balanced_small,oracle_model,CrossFormer,film_panel_gated_mean_aux,1000.0,0.48221701566215297,-0.0005587475138405518,-0.0030416727308929525,-0.0005587475138405934,0.18066666666666667,0.5356723883698384
round2_diagnostic_balanced_small,oracle_model,CrossFormer,film_panel_lowrank_aux,1000.0,0.4835305199780657,0.000754756802072154,0.003822982851548251,0.0007547568020721263,0.164,0.5435430710464716
round2_diagnostic_balanced_small,oracle_model,DLinear,film_panel_gated_mean_aux,1000.0,0.37708324183104563,-0.0005777818751521169,-0.018530062855760088,-0.0005777818751521412,0.75,0.6115310024271409
round2_diagnostic_balanced_small,oracle_model,DLinear,film_panel_lowrank_aux,1000.0,0.3748092230403175,-0.0028518006658802553,-0.024779981786865468,-0.0028518006658802414,0.738,0.629253954788049
round2_diagnostic_balanced_small,oracle_model,ES,film_panel_gated_mean_aux,1000.0,0.11222795133886389,-0.0010528124843452724,-0.010288619495075008,-0.0010528124843452655,0.5513333333333333,0.3083320245246092
round2_diagnostic_balanced_small,oracle_model,ES,film_panel_lowrank_aux,1000.0,0.1112514082122749,-0.002029355610934258,-0.0158780122994627,-0.002029355610934251,0.553,0.30663194695611795
round2_diagnostic_balanced_small,group_name,LOW_LOW_HIGH,film_panel_gated_mean_aux,177.0,0.22748327900345566,0.0008690693467660882,0.0014250708828114078,0.0008690693467660708,0.6007532956685498,0.4876407217339607
round2_diagnostic_balanced_small,group_name,LOW_LOW_HIGH,film_panel_lowrank_aux,177.0,0.22746612818544668,0.0008519185287571007,0.0002776472458621282,0.0008519185287570973,0.6007532956685498,0.49196769563716236
round2_selection_small,error_gap_quantile,q5,film_panel_gated_mean_aux,811.0,0.6418523542855534,0.03038055068092005,1.9864041491622242,0.030380550680919965,0.6888614878750513,0.6751447295975989
round2_selection_small,error_gap_quantile,q5,film_panel_lowrank_aux,811.0,0.6075676466095553,-0.0039041569950780675,-1.083095377732402,-0.0039041569950780675,0.6884504726674887,0.6951894458985063
round2_selection_small,oracle_model,PatchTST,film_panel_gated_mean_aux,814.0,0.48147564124091247,0.035485305476046614,2.102679650478371,0.035485305476046614,0.3931203931203931,0.5614147388378584
round2_selection_small,oracle_model,PatchTST,film_panel_lowrank_aux,814.0,0.44885412389116003,0.0028637881262941756,-0.9265978246337481,0.002863788126294134,0.42424242424242425,0.5752494738518851
round2_selection_small,oracle_model,CrossFormer,film_panel_gated_mean_aux,479.0,0.4810633641253203,-4.702521664345927e-06,0.0003245883772352576,-4.7025216643598045e-06,0.17954070981210857,0.5459931360385281
round2_selection_small,oracle_model,CrossFormer,film_panel_lowrank_aux,479.0,0.4827848970154449,0.0017168303684602648,0.0036352931030982916,0.0017168303684602995,0.15866388308977036,0.5534863037704675
round2_selection_small,oracle_model,DLinear,film_panel_gated_mean_aux,1547.0,0.37447282416216043,-0.0006496603851020022,0.0012003241291900224,-0.0006496603851020161,0.7582417582417582,0.6122258614971061
round2_selection_small,oracle_model,DLinear,film_panel_lowrank_aux,1547.0,0.371924150005644,-0.0031983345416184417,-0.004854951853271672,-0.0031983345416184833,0.7485455720749838,0.6296696182058639
round2_selection_small,oracle_model,ES,film_panel_gated_mean_aux,1774.0,0.1394354539560478,-0.0013928345339345727,-0.05771856826065125,-0.0013928345339345588,0.5512965050732808,0.31324654062443413
round2_selection_small,oracle_model,ES,film_panel_lowrank_aux,1774.0,0.13918084504375405,-0.0016474434462283305,-0.06736299608240681,-0.0016474434462283097,0.5584366779406239,0.3121718172066555
round2_selection_small,group_name,LOW_LOW_HIGH,film_panel_gated_mean_aux,210.0,0.15347116019314389,0.001938095148689728,0.004040237606011493,0.0019380951486897315,0.6015873015873016,0.37726278276670544
round2_selection_small,group_name,LOW_LOW_HIGH,film_panel_lowrank_aux,210.0,0.1507767868462935,-0.0007562781981606537,-0.00014235183689359499,-0.0007562781981606467,0.5968253968253968,0.37831088233561744
round2_test_small,error_gap_quantile,q5,film_panel_gated_mean_aux,1084.0,0.6927255240476384,-0.000272153367051331,-0.006501045892159496,-0.000272153367051331,0.6780442804428045,0.7326467357997452
round2_test_small,error_gap_quantile,q5,film_panel_lowrank_aux,1084.0,0.6896907974255315,-0.00330687998915824,-0.014512023610658176,-0.0033068799891582124,0.673739237392374,0.7406969935407571
round2_test_small,oracle_model,PatchTST,film_panel_gated_mean_aux,1012.0,0.5864906911808773,0.0022063554802662644,0.009717827326329864,0.0022063554802661672,0.7569169960474308,0.6642266686500218
round2_test_small,oracle_model,PatchTST,film_panel_lowrank_aux,1012.0,0.583152439943435,-0.0011318957571759825,-0.004102309373211099,-0.0011318957571759825,0.7542819499341239,0.6642924621308588
round2_test_small,oracle_model,CrossFormer,film_panel_gated_mean_aux,476.0,0.6556093654124436,-0.002361789505527012,-0.006251952187640741,-0.002361789505527012,0.12184873949579832,0.5775045399718425
round2_test_small,oracle_model,CrossFormer,film_panel_lowrank_aux,476.0,0.6520707151410365,-0.005900439776934108,-0.007943208102846322,-0.005900439776934108,0.14145658263305322,0.5802262915449651
round2_test_small,oracle_model,DLinear,film_panel_gated_mean_aux,613.0,0.6107663266282769,-0.0011147871958381295,-0.003827158032824851,-0.0011147871958380462,0.3170201196302338,0.6139262894238383
round2_test_small,oracle_model,DLinear,film_panel_lowrank_aux,613.0,0.611591696304934,-0.00028941751918099,-0.009985202224485956,-0.0002894175191809345,0.3028820010875476,0.6167626785253169
round2_test_small,oracle_model,ES,film_panel_gated_mean_aux,2135.0,0.21400497479892086,-0.00047552037589063123,-0.014261380218567155,-0.00047552037589063123,0.5366120218579234,0.3413197166211525
round2_test_small,oracle_model,ES,film_panel_lowrank_aux,2135.0,0.21438963940574998,-9.085576906150972e-05,-0.0043685558090507115,-9.085576906150972e-05,0.54192037470726,0.3388424606317659
round2_test_small,group_name,LOW_LOW_HIGH,film_panel_gated_mean_aux,1001.0,0.24154186670371006,0.0009649672253659314,0.01334644020242104,0.0009649672253659453,0.605061605061605,0.3775377524889512
round2_test_small,group_name,LOW_LOW_HIGH,film_panel_lowrank_aux,1001.0,0.24052777599829891,-4.9123480045210055e-05,-0.004795109523551222,-4.912348004518924e-05,0.6043956043956044,0.37184230086607334
