sample_set,variant,selected_model,ratio_mean,ratio_std,count_mean
round2_diagnostic_balanced_small,film_global_panel_mean_aux,CrossFormer,0.1114,0.09597749736266309,557.0
round2_diagnostic_balanced_small,film_global_panel_mean_aux,DLinear,0.44533333333333336,0.027716661655641937,2226.6666666666665
round2_diagnostic_balanced_small,film_global_panel_mean_aux,ES,0.1375333333333333,0.09827498834054031,687.6666666666666
round2_diagnostic_balanced_small,film_global_panel_mean_aux,NaiveForecaster,0.1446,0.09480063290927968,723.0
round2_diagnostic_balanced_small,film_global_panel_mean_aux,PatchTST,0.16113333333333332,0.017279274676135367,805.6666666666666
round2_diagnostic_balanced_small,film_mean_patch_aux,CrossFormer,0.09073333333333333,0.024035251888285536,453.6666666666667
round2_diagnostic_balanced_small,film_mean_patch_aux,DLinear,0.40273333333333333,0.04519306731494701,2013.6666666666667
round2_diagnostic_balanced_small,film_mean_patch_aux,ES,0.18433333333333332,0.12428504871195623,921.6666666666666
round2_diagnostic_balanced_small,film_mean_patch_aux,NaiveForecaster,0.13826666666666668,0.11137186957815395,691.3333333333334
round2_diagnostic_balanced_small,film_mean_patch_aux,PatchTST,0.1839333333333333,0.017504666044610307,919.6666666666666
round2_diagnostic_balanced_small,film_panel_mean_aux,CrossFormer,0.1422,0.11123812296150992,711.0
round2_diagnostic_balanced_small,film_panel_mean_aux,DLinear,0.41353333333333336,0.04400196965288414,2067.6666666666665
round2_diagnostic_balanced_small,film_panel_mean_aux,ES,0.18386666666666665,0.08846566188829048,919.3333333333334
round2_diagnostic_balanced_small,film_panel_mean_aux,NaiveForecaster,0.08753333333333334,0.019016133501144058,437.6666666666667
round2_diagnostic_balanced_small,film_panel_mean_aux,PatchTST,0.17286666666666664,0.03215980928633336,864.3333333333334
round2_selection_small,film_global_panel_mean_aux,CrossFormer,0.13386666666666666,0.1566806093086612,669.3333333333334
round2_selection_small,film_global_panel_mean_aux,DLinear,0.44320000000000004,0.025105377909922028,2216.0
round2_selection_small,film_global_panel_mean_aux,ES,0.15706666666666666,0.15842541883590947,785.3333333333334
round2_selection_small,film_global_panel_mean_aux,NaiveForecaster,0.13506666666666667,0.15658152296274722,675.3333333333334
round2_selection_small,film_global_panel_mean_aux,PatchTST,0.1308,0.016978810323459072,654.0
round2_selection_small,film_mean_patch_aux,CrossFormer,0.0698,0.018850994668717085,349.0
round2_selection_small,film_mean_patch_aux,DLinear,0.40420000000000006,0.034592484732958985,2021.0
round2_selection_small,film_mean_patch_aux,ES,0.2382,0.1786530716220687,1191.0
round2_selection_small,film_mean_patch_aux,NaiveForecaster,0.13346666666666668,0.16805241245912936,667.3333333333334
round2_selection_small,film_mean_patch_aux,PatchTST,0.15433333333333332,0.018345935062932413,771.6666666666666
round2_selection_small,film_panel_mean_aux,CrossFormer,0.15739999999999998,0.16939752064301294,787.0
round2_selection_small,film_panel_mean_aux,DLinear,0.41900000000000004,0.04025866366386246,2095.0
round2_selection_small,film_panel_mean_aux,ES,0.23559999999999995,0.14968339921313917,1178.0
round2_selection_small,film_panel_mean_aux,NaiveForecaster,0.04493333333333333,0.013124531737678618,224.66666666666666
round2_selection_small,film_panel_mean_aux,PatchTST,0.14306666666666668,0.03407834111768549,715.3333333333334
round2_test_small,film_global_panel_mean_aux,CrossFormer,0.14393333333333333,0.15153881790925167,719.6666666666666
round2_test_small,film_global_panel_mean_aux,DLinear,0.09966666666666667,0.014479410669406863,498.3333333333333
round2_test_small,film_global_panel_mean_aux,ES,0.22306666666666666,0.1725146177381306,1115.3333333333333
round2_test_small,film_global_panel_mean_aux,NaiveForecaster,0.20186666666666667,0.17199213160296994,1009.3333333333334
round2_test_small,film_global_panel_mean_aux,PatchTST,0.33146666666666663,0.012329368732150625,1657.3333333333333
round2_test_small,film_mean_patch_aux,CrossFormer,0.05046666666666667,0.007311178655547498,252.33333333333334
round2_test_small,film_mean_patch_aux,DLinear,0.0906,0.021823840175367856,453.0
round2_test_small,film_mean_patch_aux,ES,0.2992666666666666,0.19995052721444204,1496.3333333333333
round2_test_small,film_mean_patch_aux,NaiveForecaster,0.2108,0.19108228593985369,1054.0
round2_test_small,film_mean_patch_aux,PatchTST,0.34886666666666666,0.03334686392051481,1744.3333333333333
round2_test_small,film_panel_mean_aux,CrossFormer,0.14946666666666666,0.18051496706182932,747.3333333333334
round2_test_small,film_panel_mean_aux,DLinear,0.10513333333333334,0.02139563818476405,525.6666666666666
round2_test_small,film_panel_mean_aux,ES,0.2994,0.16889061548825027,1497.0
round2_test_small,film_panel_mean_aux,NaiveForecaster,0.10806666666666666,0.011957145701769025,540.3333333333334
round2_test_small,film_panel_mean_aux,PatchTST,0.33793333333333336,0.01946929206040458,1689.6666666666667
