layout,seed,sample_set,perturbation_sigma,row_count,cls_embedding_cosine_distance_mean,cls_embedding_cosine_distance_std,cls_embedding_cosine_distance_max,mean_patch_embedding_cosine_distance_mean,mean_patch_embedding_cosine_distance_std,mean_patch_embedding_cosine_distance_max,embedding_l2_mean,embedding_l2_std,embedding_l2_max
current_rgb_3view,16,round2_diagnostic_balanced_small,0.001,1536,0.042040233178340075,0.1318223700066682,0.546508390390303,0.05751464940846096,0.18075617123883977,0.7201460141544247,2.258508353557166,6.600496585266593,25.44173240661621
current_rgb_3view,16,round2_diagnostic_balanced_small,0.005,1536,0.04426546646692727,0.13431207265936468,0.5677916529755049,0.06013180804857932,0.18313277047576051,0.7307389625835106,2.6896606282583284,6.616796225195099,25.36954116821289
current_rgb_3view,16,round2_diagnostic_balanced_small,0.01,1536,0.04496001151726748,0.1349728889832692,0.5681198931197255,0.060863655651062075,0.1841751994603464,0.73548570149149,3.079730511196734,6.48425033813803,24.93462562561035
current_rgb_3view,16,round2_selection_small,0.001,1536,0.04418489281698734,0.1365252223655581,0.5566009778963383,0.060694532412182256,0.1874277709007899,0.7212972453672037,2.319668981411572,6.767581888723577,25.309005737304688
current_rgb_3view,16,round2_selection_small,0.005,1536,0.045034663404484504,0.13769843206740423,0.5572793112970226,0.06152230829194257,0.18821616328483431,0.7223322768703888,2.6720527239861744,6.69263533099903,25.45901298522949
current_rgb_3view,16,round2_selection_small,0.01,1536,0.045645632655922704,0.13712730475746718,0.5588215428354008,0.06228884593576628,0.1881033925305417,0.7238058940910338,3.064477270527277,6.562518108051735,25.32355499267578
current_rgb_3view,17,round2_diagnostic_balanced_small,0.001,1536,0.04163334783940866,0.1303638044626867,0.5568389183937343,0.05699368128881361,0.17888761248708587,0.7543897369006999,2.256546472206537,6.566138713549339,25.5488338470459
current_rgb_3view,17,round2_diagnostic_balanced_small,0.005,1536,0.043443688015473124,0.13308117108817044,0.5720128162348133,0.059363753416621284,0.18235130034113564,0.7491896362326993,2.652406534170344,6.568885683925913,25.51375961303711
current_rgb_3view,17,round2_diagnostic_balanced_small,0.01,1536,0.04506840688271629,0.13526615078774773,0.553284786809622,0.06077101142414521,0.18406998896064367,0.7386065220896825,3.079793003387749,6.474376841768202,25.322153091430664
current_rgb_3view,17,round2_selection_small,0.001,1536,0.04401457913522771,0.13509551543958256,0.5568389183937343,0.06052794355850143,0.18559856256091795,0.7543897369006999,2.3396487156351213,6.754815063269265,25.5488338470459
current_rgb_3view,17,round2_selection_small,0.005,1536,0.04494998132823608,0.137145066602134,0.5827642660031584,0.061638875738674104,0.18811132206236997,0.7398181532596008,2.6727058689672654,6.6922536063241305,25.872621536254883
current_rgb_3view,17,round2_selection_small,0.01,1536,0.04648397586995368,0.1383999985670964,0.5684488443689859,0.06326346378565037,0.18945929639956752,0.7244724160038523,3.110432955358798,6.609710201148271,24.92219352722168
current_rgb_3view,18,round2_diagnostic_balanced_small,0.001,1536,0.04242444757745592,0.13382273053408847,0.5708880537505401,0.05758961074657264,0.18199573199877972,0.7426950703485486,2.2477187357969037,6.612643698549862,25.12433433532715
current_rgb_3view,18,round2_diagnostic_balanced_small,0.005,1536,0.043922632941015095,0.13400098342706337,0.5721875938666487,0.059761036723482076,0.1828385573228881,0.7126885522324542,2.675944643774225,6.609460952806826,25.23666381835937
current_rgb_3view,18,round2_diagnostic_balanced_small,0.01,1536,0.04483313427140833,0.13455189242323734,0.5518714409400394,0.060668997613491864,0.18354376003022654,0.7339124055436286,3.0731691219843924,6.484169847332298,24.96172332763672
current_rgb_3view,18,round2_selection_small,0.001,1536,0.044164341580721904,0.1360323692782601,0.5538645688694169,0.06061852732943288,0.18653973141850333,0.7311484049171821,2.333404456532056,6.756340819710577,24.95428466796875
current_rgb_3view,18,round2_selection_small,0.005,1536,0.0450066773571594,0.13684092747480867,0.5532489980911008,0.061772363452911434,0.1880893120711288,0.7285081892860785,2.6878675768869775,6.707251287707091,25.42684936523437
current_rgb_3view,18,round2_selection_small,0.01,1536,0.04518508697720946,0.1366854882141568,0.56625953063606,0.06187582500788119,0.188035158470976,0.7290953279272137,3.038549774171164,6.559668078102926,25.375675201416016
top3fold_period_layout,16,round2_diagnostic_balanced_small,0.001,1536,0.004633281783371267,0.04105596525479344,0.6354354730320109,0.005446616230462181,0.04684254485810065,0.616988016573294,0.3658742755687854,2.08551450938634,23.87052154541016
top3fold_period_layout,16,round2_diagnostic_balanced_small,0.005,1536,0.006232639823568236,0.04167300144011234,0.5707329321043255,0.007784673558590148,0.05072476286518642,0.6632614951188036,0.7331926161956895,2.419637513853419,23.468996047973636
top3fold_period_layout,16,round2_diagnostic_balanced_small,0.01,1536,0.007658242390937574,0.04295699101322159,0.6411486055591115,0.009590884921499716,0.05028640509737287,0.6489378688256477,1.1420483687252272,2.5808061098347324,23.74162101745605
top3fold_period_layout,16,round2_selection_small,0.001,1536,0.001716575759667529,0.02366678503117037,0.6884026712479078,0.001982902090674624,0.025617530825175257,0.65801287492918,0.20611539210707022,1.2860569165325122,24.502660751342773
top3fold_period_layout,16,round2_selection_small,0.005,1536,0.003799658125905375,0.032376103809823246,0.5711437420656775,0.004684992948276123,0.03796578282804718,0.6091219855381667,0.5702908971337214,1.9177562280169262,23.08897590637207
top3fold_period_layout,16,round2_selection_small,0.01,1536,0.005176490244055996,0.03587008311594352,0.6919179379569272,0.006725962435825933,0.04486306079254582,0.7500505080409109,0.9668732914239323,2.1631974241367313,26.06875991821289
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.001,1536,0.003964238012295069,0.03242676717945111,0.4979214315104749,0.004904329968207908,0.03932817960039034,0.5790950766978868,0.3669442723791387,1.9831812955032402,22.28167533874512
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.005,1536,0.005212289610979244,0.03719184965733433,0.6007120561863921,0.006407062944816991,0.044440953961328196,0.6341518366322263,0.6628311976916544,2.201525937189722,23.894744873046875
top3fold_period_layout,17,round2_diagnostic_balanced_small,0.01,1536,0.006941914713725936,0.03888208484199049,0.5395053860041241,0.008865603561763191,0.04762470218572898,0.6489043674426662,1.1098335431597661,2.479585624479733,23.56271743774414
top3fold_period_layout,17,round2_selection_small,0.001,1536,0.002025861319022119,0.02502337970142729,0.5707424826842831,0.002313488630984028,0.027965399537208186,0.5720706740003225,0.21975135751442088,1.4031888784354778,23.082761764526367
top3fold_period_layout,17,round2_selection_small,0.005,1536,0.0038055142870471715,0.035131464233434134,0.7296937943403907,0.004782224271749343,0.041637184910808304,0.7841125313062702,0.5695233484002529,1.9442793007468477,27.57207489013672
top3fold_period_layout,17,round2_selection_small,0.01,1536,0.005018338585552312,0.03367524918361085,0.5869859738728478,0.006388720281185312,0.04105214297760298,0.6766938827415112,0.9622032213762092,2.0945208305537313,23.072429656982425
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.001,1536,0.004288147611559406,0.03880440764347352,0.6597466680004489,0.005090920026196451,0.04512048828401163,0.7195878397210862,0.35554730014458374,2.0462782947471165,26.230321884155277
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.005,1536,0.006249344322236734,0.041443440230769214,0.5463862374352856,0.007699791925615843,0.05072843460115544,0.6633479156680355,0.7172248726613665,2.397545748433513,22.508773803710938
top3fold_period_layout,18,round2_diagnostic_balanced_small,0.01,1536,0.007063968287873965,0.03767378162231374,0.57181950472157,0.009087705411484707,0.046314487889890905,0.6278790312796226,1.1282051314289372,2.5027900566210284,23.503101348876957
top3fold_period_layout,18,round2_selection_small,0.001,1536,0.002260344059062369,0.02605993808339211,0.5705506390558971,0.002627853751093862,0.028348277342348543,0.5668637173236105,0.24413887869256234,1.475374204640496,23.07946014404297
top3fold_period_layout,18,round2_selection_small,0.005,1536,0.0037311460698408443,0.029372432434559247,0.5702478433326721,0.004563686086674824,0.0347437425653203,0.5664821346110835,0.5742547250605033,1.8771159272046842,23.067102432250977
top3fold_period_layout,18,round2_selection_small,0.01,1536,0.005098105446995206,0.03467432108509419,0.6676287092736319,0.0066149670326076495,0.04259437305228279,0.727133981482546,0.9606854360026773,2.15455686498156,25.44131088256836
